"location","source","target"
"lib/components/header_menu/header_menu_component.js:45","ABOUT THE APP","ਐਪ ਬਾਰੇ"
"lib/components/about/about_component.js:19 lib/components/header_menu/header_menu_component.js:50","About Arrival Advisor","Arrival Advisor ਬਾਰੇ"
"lib/components/services/service_list_item_component.js:27","Address:","ਪਤਾ:"
"lib/components/services/service_list_error_component.js:33","An error has occured.","An error has occured."
"lib/components/recommended_topics/call_to_action.js:46","Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.","ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆਂ ਵਿੱਚ ਤੁਹਾਨੂੰ ਸੈਟਲ ਹੋਣ ਲਈ ਮਦਦ ਕਰਨ ਵਾਸਤੇ ਵਿਸ਼ਿਆਂ ਤੇ ਸੇਵਾਵਾਂ ਦੀ ਤੁਹਾਡੇ ਲਈ ਸਿਫਾਰਸ਼ਾਂ ਲੈਣ ਲਈ ਆਪਣੇ ਹਾਲਤ ਬਾਰੇ ਕੁਝ ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ।"
"lib/components/recommended_topics/call_to_action.js:55","Answer questions","ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ"
"lib/components/disclaimer/disclaimer_component.js:18","Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at:","TODO 2"
"lib/components/about/about_component.js:22","Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.","Arrival Advisor ਮੁਫ਼ਤ, ਬਹੁ-ਭਾਸਾਈ ਮੋਬਾਈਲ ਐਪ ਹੈ, ਜੋ ਕਿ ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ, ਕੈਨੇਡਾ ਦੇ ਆਵਾਸੀਆਂ ਅਤੇ ਰਿਫਿਊਜੀਆਂ ਨੂੰ ਉਹਨਾਂ ਦੀ ਸੈਟਲਮੈਂਟ ਯਾਤਰਾ ਲਈ ਜਾਣਕਾਰੀ ਅਤੇ ਸੇਵਾਵਾਂ ਲੱਭਣ ਲਈ ਮਦਦ ਕਰਦੀ ਹੈ। ਇਹ ਐਪ ਇਸ ਵੇਲੇ ਅੰਗਰੇਜੀ, ਫਰੈਂਚ (ਕੈਨੇਡਾ) ਅਤੇ ਅਰਬੀ ਵਿੱਚ ਹੈ। ਇਹ ਛੇਤੀ ਹੀ ਚੀਨੀ ਸਰਲ, ਚੀਨੀ ਰਿਵਾਇਤੀ, ਕੋਰੀਆਈ, ਪੰਜਾਬੀ ਅਤੇ ਟਾਗਾਲੋਗ ਵਿੱਚ ਉਪਲਬਧ ਹੋਵੇਗੀ।"
"lib/components/disclaimer/disclaimer_component.js:37","Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","Arrival Advisor ਇਸ ਦੇ ਵਰਤੋਂਕਾਰਾਂ ਦੀ ਪਰਦੇਦਾਰੀ ਅਤੇ ਗੁਮਨਾਮੀ ਦਾ ਖ਼ਿਆਲ ਰੱਖਦੀ ਹੈ ਤੇ ਉਹਨਾਂ ਨੂੰ ਬਣਾਈ ਰੱਖਦੀ ਹੈ। ਵਰਤੋਂਕਾਰਾਂ ਨੂੰ ਐਪ ਵਰਤਣ ਲਈ ਕੋਈ ਵੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੇਣ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ। ਸਵਾਲਨਾਮੇ ਨੂੰ ਵਰਤੋਂਕਾਰ ਵਲੋਂ ਲੋੜੀਦੀਆਂ ਸੇਵਾਵਾਂ ਤੇ ਸਰੋਤਾਂ ਨੂੰ ਨਿੱਜੀ ਲੋੜ ਮੁਤਾਬਕ ਬਣਾਉਣ ਲਈ ਸਹਾਇਤਾ ਵਾਸਤੇ ਡਿਜ਼ਾਇਨ ਕੀਤਾ ਗਿਆ ਹੈ ਅਤੇ ਜਵਾਬਾਂ ਨੂੰ ਸਮੇਂ ਨਾਲ ਐਪ ਦੀ ਵਰਤੋਂ ਯੋਗਤਾ ਸੁਧਾਰਨ ਲਈ ਹੀ ਸੰਭਾਲਿਆ ਜਾਂਦਾ ਹੈ। Arrival Advisor ਦੇ ਵਰਤੋਂਕਾਰ ਆਪਣੇ ਖੁਦ ਦੀ ਮਰਜ਼ੀ ਨਾਲ ਅਜਿਹਾ ਕਰ ਸਕਦੇ ਹੋ। ਤੁਹਾਡੇ ਵਲੋਂ ਦਿੱਤੇ ਗਏ ਜਵਾਬਾਂ ਨੂੰ ਇਸ ਸਾਧਨ ਦੀ ਕਾਰਵਾਈ ਦੌਰਾਨ ਵਰਤਿਆ ਜਾਵੇਗਾ ਤਾਂ ਕਿ ਕੈਨੇਡਾ ਦੀ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਅਨੁਕੂਲ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੀ ਮਦਦ ਵਾਸਤੇ ਸਰੋਤਾਂ ਤੇ ਸੇਵਾਵਾਂ ਲਈ ਤੁਹਾਨੂੰ ਸੇਧ ਦਿੱਤੀ ਜਾ ਸਕੇ। ਵਰਤੋਂਕਾਰਾਂ ਨੂੰ ਸਵਾਲਨਾਮੇ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਦਿੱਤੇ ਜਵਾਬਾਂ ਰਾਹੀਂ ਪਛਾਣਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ ਹੈ। ਜਾਣਕਾਰੀ ਨੂੰ ਇੰਮੀਗਰੇਸ਼ਨ, ਰਿਫ਼ਿਊਜ਼ੀ ਅਤੇ ਸਿਟੀਜ਼ਨਸ਼ਿਪ ਕੈਨੇਡਾ ਵਲੋਂ ਕਿਸੇ ਵੀ ਹੋਰ ਮਕਸਦ ਨਹੀਂ ਨਹੀਂ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ ਅਤੇ ਨਾ ਹੀ ਕਿਸੇ ਵੀ ਇੰਮੀਗਰੇਸ਼ਨ ਫੈਸਲੇ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ।"
"lib/components/questionnaire/questionnaire_component.js:110","Back","ਅੱਗੇ"
"lib/components/recommended_topics/call_to_action.js:99","Based on your answers, we recommend these topics for you:","ਤੁਹਾਡੇ ਜਵਾਬਾਂ ਦੇ ਅਧਾਰ ਉੱਤੇ ਅਸੀਂ ਤੁਹਾਡੇ ਲਈ ਇਹ ਵਿਸ਼ਿਆਂ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਦੇ ਹਾਂ:"
"lib/components/notifications/notification_content.js:7","Bookmark added","ਬੁੱਕਮਾਰਕ ਜੋੜਿਆ"
"lib/components/notifications/notification_content.js:12","Bookmark removed","ਬੁੱਕਮਾਰਕ ਹਟਾਇਆ"
"lib/components/help/help_component.js:33","Contact Arrival Advisor team","Arrival Advisor ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕਰੋ"
"lib/components/about/about_component.js:56","Copyright 2018 Province of British Columbia. All rights reserved.","ਕਾਪੀਰਾਈਟ 2018 ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਸੂਬਾ। ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ।"
"lib/components/welcome/welcome_component.js:49","Created by","ਬਣਾਇਆ"
"lib/components/help/help_component.js:87","Delete all user data","ਸਾਰਾ ਵਰਤੋਂਕਾਰ ਡਾਟਾ ਮਿਟਾਓ"
"lib/components/disclaimer/disclaimer_component.js:15 lib/components/header_menu/header_menu_component.js:51","Disclaimer","ਬੇਦਾਅਵਾ"
"lib/components/questionnaire/questionnaire_component.js:117","Done","ਮੁਕੰਮਲ"
"lib/components/explore/explore_detail_component.js:19","EXPLORE TOPICS","ਵਿਸ਼ਿਆਂ ਦੀ ਪੜਤਾਲ ਕਰੋ"
"lib/components/services/service_list_item_component.js:55","Email:","ਈਮੇਲ:"
"lib/components/services/service_list_component.js:53","FIND A SERVICE NEAR YOU","ਆਪਣੇ ਨੇੜੇ ਸੇਵਾ ਲੱਭੋ"
"lib/components/help/help_component.js:59","FOR ADDITIONAL ASSISTANCE","ਹੋਰ ਸਹਾਇਤਾ ਲਈ"
"lib/components/services/service_list_error_component.js:28","Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".","Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy""."
"lib/components/help/help_component.js:71","Find a settlement agency near me","ਮੇਰੇ ਨੇੜੇ ਸੈਟਲਮੈਂਟ ਏਜੰਸੀ ਲੱਭੋ"
"lib/components/topics/task_detail_content_component.js:103","Find related services near me","ਮੇਰੇ ਨੇੜੇ ਸੰਬੰਧਿਤ ਸੇਵਾਵਾਂ ਲੱਭੋ"
"lib/components/about/about_component.js:30","From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.","ਨੌਕਰੀ ਲੱਭਣ ਤੋਂ ਲੈ ਕੇ ਅੰਗਰੇਜ਼ੀ ਸਿੱਖਣ, ਸਿਹਤ ਦੇਖਭਾਲ ਲਈ ਪਹੁੰਚ ਅਤੇ ਹੋਰ ਕਈ ਕੁਝ ਲਈ ਤੁਹਾਨੂੰ ਤੁਹਾਡੇ ਨਵੇਂ ਸਮਾਜ ਵਿੱਚ ਸ਼ੁਰੂਆਤ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਸਭ ਕੁਝ Arrival Advisor ਵਿੱਚ ਹੈ। ਬਿਨਾਂ ਖਾਤਾ ਬਣਾਏ ਵਿਸ਼ਿਆਂ ਅਤੇ ਸੇਵਾਵਾਂ ਦੀ ਪੜਤਾਲ ਕਰੋ। ਜਿੱਥੇ ਵੀ ਤੁਸੀਂ ਹੋਵੋ, ਖਾਸ ਜਾਣਕਾਰੀ ਲਈ ਪਹੁੰਚ ਬਣਾਈ ਰੱਖੋ: Arrival Advisor ਵਲੋਂ ਦਿੱਤੇ ਜਾਂਦੇ ਨਵੇਂ ਆਇਆਂ ਲਈ ਵਿਸ਼ੇ ਤੁਹਾਡੇ ਫ਼ੋਨ ਉੱਤੇ ਸੰਭਾਲੇ ਜਾਂਦੇ ਹਨ ਤਾਂ ਕਿ ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਬਿਨਾਂ ਇੰਟਰਨੈੱਟ ਦੇ ਵੇਖ ਸਕੋ। ਤੁਸੀਂ ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਵਿੱਚ ਸੈਟਲ ਹੋਣ ਲਈ ਵਿਸ਼ਿਆਂ ਤੇ ਸੇਵਾਵਾਂ ਨੂੰ ਆਪਣੇ ਲਈ ਨਿੱਜੀ ਬਣਾਈਆਂ ਸਿਫਾਰਸ਼ਾਂ ਲੈਣ ਵਾਸਤੇ ਕੁਝ ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ ਦੇ ਸਕਦੇ ਹੋ। Arrival Advisor ਅਣਪਛਾਤੇ ਵਜੋਂ ਕੰਮ ਕਰਦਾ ਹੈ ਅਤੇ ਤੁਹਾਡੇ ਜਵਾਬਾਂ ਨੂੰ ਐਪ ਦੀਆਂ ਸਿਫਾਰਸ਼ਾਂ ਦੇਣ ਲਈ ਹੀ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ। ਅਸੀਂ ਤੁਹਾਡੇ ਨਿੱਜੀ ਡਾਟੇ ਨੂੰ ਸੰਭਾਲ ਦੇ ਜਾਂ ਫੰਡ ਦੇਣ ਵਾਲਿਆਂ ਜਾਂ ਕਿਸੇ ਵੀ ਸੁਤੰਤਰ ਧਿਰਾਂ ਨਾਲ ਸਾਂਝਾ ਨਹੀਂ ਕਰਦੇ ਹਾਂ।"
"lib/components/recommended_topics/call_to_action.js:33","GETTING STARTED","ਸ਼ੁਰੂ ਕਰੀਏ"
"lib/components/recommended_topics/call_to_action.js:36","Get information based on your needs","ਤੁਹਾਡੀਆਂ ਲੋੜਾਂ ਦੇ ਮੁਤਾਬਕ ਜਾਣਕਾਰੀ ਲਵੋ"
"lib/components/recommended_topics/call_to_action.js:74","Go back to questions","ਸਵਾਲਾਂ 'ਤੇ ਵਾਪਸ ਜਾਓ"
"lib/components/help/help_component.js:46","Help & Support","ਮਦਦ ਤੇ ਸਹਿਯੋਗ"
"lib/components/help/help_component.js:49","If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.","ਜੇ ਤੁਹਾਨੂੰ ਕੈਨੇਡਾ ਵਿੱਚ ਸੈਟਲਮੈਂਟ ਨਾਲ ਔਖਿਆਈ ਆ ਰਹੀ ਹੈ ਤਾਂ ਅਸੀਂ ਤੁਹਾਨੂੰ ਸੈਟਲਮੈਂਟ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰਨ ਦਾ ਸੁਝਾਅ ਦਿੰਦੇ ਹਾਂ।"
"lib/components/about/about_component.js:54","Information in this app is provided by the","ਇਸ ਐਪ ਵਿੱਚ ਜਾਣਕਾਰੀ {welcomeBCLink} ਵਲੋਂ ਦਿੱਤੀ ਗਈ ਹੈ, ਕਾਪੀਰਾਈਟ 2018 ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਸੂਬਾ। ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ।"
"lib/components/help/help_component.js:24","Information on BC211","BC211 ਬਾਰੇ ਜਾਣਕਾਰੀ"
"lib/components/help/help_component.js:19","Information on HealthLinkBC (8-1-1)","ਹੈਲਥਲਿੰਕਬੀਸੀ (8-1-1) ਬਾਰੇ ਜਾਣਕਾਰੀ"
"lib/components/help/help_component.js:14","Information on emergency services (9-1-1)","ਐਮਰਜੈਂਸੀ ਸੇਵਾਵਾਂ (9-1-1) ਬਾਰੇ ਜਾਣਕਾਰੀ"
"lib/components/help/help_component.js:29","Information on helplines","ਮਦਦ-ਲਾਈਨ ਬਾਰੇ ਜਾਣਕਾਰੀ"
"lib/components/explore/explore_all_component.js:11","Learn all about B.C.","ਬੀ.ਸੀ. ਬਾਰੇ ਸਭ ਜਾਣੋ"
"lib/components/help/help_component.js:20","Mutlilingual health information services","ਬਹੁ-ਭਾਸ਼ਾਈ ਸਿਹਤ ਜਾਣਕਾਰੀ ਸੇਵਾਵਾਂ"
"lib/components/bookmarked_topics/bookmarked_topics_component.js:12","My bookmarks","ਮੇਰੇ ਬੁੱਕਮਾਰਕ"
"lib/components/questionnaire/questionnaire_component.js:100","Next","ਅੱਗੇ"
"lib/components/questionnaire/new_topics_modal_component.js:55","No new topics recommended based on your answers.","ਤੁਹਾਡੇ ਜਵਾਬਾਂ ਦੇ ਅਧਾਰ ਉੱਤੇ ਕੋਈ ਨਵੇਂ ਸਿਫਾਰਸ਼ ਕੀਤੇ ਵਿਸ਼ੇ ਨਹੀਂ ਹਨ"
"lib/components/services/service_list_component.js:60","No related services found","ਕੋਈ ਸੰਬੰਧਿਤ ਸੇਵਾ ਨਹੀਂ ਲੱਭੀ"
"lib/components/topics/task_list_component.js:77","No topics to recommend","ਸਿਫਾਰਸ਼ ਕਰਨ ਲਈ ਕੋਈ ਵਿਸ਼ਾ ਨਹੀਂ ਹੈ"
"lib/components/topics/task_list_component.js:76","No topics to show","ਵੇਖਾਉਣ ਲਈ ਕੋਈ ਵਿਸ਼ਾ ਨਹੀਂ ਹੈ"
"lib/components/questionnaire/new_topics_modal_component.js:43","Number of new topics recommended based on your answers:","ਤੁਹਾਡੇ ਜਵਾਬਾਂ ਦੇ ਅਧਾਰ ਉੱਤੇ ਸਿਫਾਰਸ਼ ਕੀਤੇ ਨਵੇਂ ਵਿਸ਼ਿਆਂ ਦੀ ਗਿਣਤੀ:"
"lib/components/questionnaire/questionnaire_component.js:78","OF","/"
"lib/components/questionnaire/new_topics_modal_component.js:69","OK","ਠੀਕ ਹੈ"
"lib/components/recommended_topics/call_to_action.js:60","Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:","ਜਦੋਂ ਤੁਸੀਂ ਕੁਝ ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ ਦੇ ਦਿੱਤੇ ਤਾਂ ਤੁਹਾਡੀਆਂ ਸਿਫਾਰਸ਼ਾਂ ਹੇਠਾਂ ਦਿਖਾਈਆਂ ਜਾਣਗੀਆਂ। ਹੁਣ ਇਹ ਕੁਝ ਵਿਸ਼ੇ ਹਨ, ਜੋ ਕਿ ਅਸੀਂ ਹਰੇਕ ਲਈ ਸਿਫਾਰਸ਼ ਕਰਦੇ ਹਾਂ:"
"lib/components/maps_application_popup/maps_application_popup_component.js:18","Open in maps","ਨਕਸ਼ੇ ਵਿੱਚ ਖੋਲ੍ਹੋ"
"lib/components/disclaimer/disclaimer_component.js:49","PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.","ਪੀਸਗੀਕਸ (PeaceGeeks) ਐਪ ਦੀ ਵਰਤੋਂ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਜਾਂ ਕਿਸੇ ਵੀ ਵਰਤੋਂ ਦੇ ਕਰਕੇ ਹੋਣ ਵਾਲੇ ਨੁਕਸਾਨ ਦੀ ਦੇਣਦਾਰ ਨਹੀਂ ਹੈ। ਪੀਸਗੀਕਸ (PeaceGeeks)ਕੋਈ ਇੰਮੀਗਰੇਸ਼ਨ ਸਲਾਹਕਾਰ ਨੈੱਟਵਰਕ ਨਹੀਂ ਹੈ ਅਤੇ ਇਸਕਰਕੇ ਇੰਮੀਗਰੇਸ਼ਨ ਸੰਬੰਧੀ ਕੋਈ ਵੀ ਸਿੱਧੀ ਸਲਾਹ ਜਾਂ ਸਹਿਯੋਗ ਨਹੀਂ ਦਿੰਦੀ। Arrival Advisor ਨਵੇਂ ਆਉਣ ਵਾਲਿਆਂ ਨੂੰ ਮੈਟਰੋ ਵੈਨਕੂਵਰ ਵਿੱਚ ਸੈਟਲ ਹੋਣ ਲਈ ਸਹਾਇਤਾ ਵਾਸਤੇ ਸੇਵਾਵਾਂ ਤੇ ਸਰੋਤਾਂ ਦੀ ਡਾਇਰੈਕਟਰੀ ਦੇਣ ਲਈ ਮੌਜੂਦ ਹੈ ਅਤੇ ਅਧਿਕਾਰਿਤ ਇੰਮੀਗਰੇਸ਼ਨ ਸੇਵਾ ਸਮਰੱਥਾ ਵਿੱਚ ਮੌਜੂਦ ਨਹੀਂ ਹੈ।"
"lib/components/services/service_list_error_component.js:23","Please ensure location services are enabled for Arrival Advisor.","Please ensure location services are enabled for Arrival Advisor."
"lib/components/help/help_component.js:15","Police, fire and medical emergencies","ਪੁਲਸ, ਅੱਗ ਬਝਾਉਣ ਅਤੇ ਮੈਡੀਕਲ ਐਮਰਜੈਂਸੀ"
"lib/components/header_menu/header_menu_component.js:52","Privacy policy","ਪਰਦਦੇਰੀ ਨੀਤੀ"
"lib/components/topics/task_detail_component.js:19","RELATED TOPICS","ਸੰਬੰਧਿਤ ਵਿਸ਼ੇ"
"lib/components/expandable_content/expandable_content_component.js:79","Read less","ਘੱਟ ਪੜ੍ਹੋ"
"lib/components/expandable_content/expandable_content_component.js:79","Read more","ਵੱਧ ਪੜ੍ਹੋ"
"lib/components/recommended_topics/recommended_topics_component.js:38 lib/components/topics/task_detail_content_component.js:63","Recommended for you","ਤੁਹਾਡੇ ਲਈ ਸਿਫਾਰਸ਼ਾਂ ਹਨ"
"lib/components/header_menu/header_menu_component.js:24","SELECT YOUR LANGUAGE","ਆਪਣੀ ਭਾਸ਼ਾ ਚੁਣੋ"
"lib/components/bookmarked_topics/bookmarked_topics_component.js:15","Save important topics to build your personal plan for settlement.","ਸੈਟਲਮੈਂਟ ਲਈ ਤੁਹਾਡੀ ਨਿੱਜੀ ਵਿਓਂਤ ਬਣਾਉਣ ਲਈ ਖਾਸ ਵਿਸ਼ਿਆਂ ਨੂੰ ਸੰਭਾਲੋ।"
"lib/components/welcome/welcome_component.js:31","Select your language","ਆਪਣੀ ਭਾਸ਼ਾ ਚੁਣੋ"
"lib/components/about/about_component.js:63","Server version:","ਸਰਵਰ ਵਰਜ਼ਨ: {0}"
"lib/components/help/help_component.js:25","Services information and referral","ਸੇਵਾਵਾਂ ਜਾਣਕਾਰੀ ਅਤੇ ਹਵਾਲੇ"
"lib/components/welcome/welcome_component.js:27","Settling in Canada is now easier.","ਕੈਨੇਡਾ ਵਿੱਚ ਸੈਟਲ ਹੋਣਾ ਹੁਣ ਹੋਰ ਵੀ ਸੌਖਾ ਹੋਇਆ।"
"lib/components/questionnaire/questionnaire_component.js:100","Skip","ਛੱਡੋ"
"lib/components/welcome/welcome_component.js:42","Start","ਸ਼ੁਰੂ ਕਰੋ"
"lib/components/recommended_topics/recommended_topics_component.js:21","Start settling in B.C.","ਬੀ.ਸੀ. ਵਿੱਚ ਸੈਟਲ ਹੋਣਾ ਸ਼ੁਰੂ ਕਰੋ"
"lib/components/about/about_component.js:41","The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can","Arrival Advisor ਨੂੰ ਮੈਟਰੋ ਵੈਨਕੂਵਰ ਵਿੱਚ ਸੈਟਲਮੈਂਟ ਦੇਣ ਵਾਲਿਆਂ ਅਤੇ ਤੁਹਾਡੇ ਵਲੋਂ ਆਵਾਸੀਆਂ ਤੇ ਰਿਫ਼ਿਊਜ਼ੀਆਂ ਨਾਲ ਮਿਲ ਕੇ ਡਿਜਾਇਨ ਕੀਤਾ ਗਿਆ ਹੈ। ਅਸੀਂ ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਸੂਬੇ ਵਲੋਂ ਨੌਕਰੀਆਂ, ਵਪਾਰ ਅਤੇ ਤਕਨੀਕ ਮੰਤਰਾਲੇ ਦੇ ਨਾਲ ਨਾਲ Google.org Canada ਵਲੋਂ ਵਿੱਤੀ ਸਹਿਯੋਗ ਦੇਣ ਲਈ ਸ਼ੁਕਰਗੁਜ਼ਾਰ ਹੋ ਕੇ ਕਦਰ ਕਰਦੇ ਹਾਂ। ਨਿੱਜੀ ਦਾਨ ਦੇਣ ਵਲਿਆਂ ਦਾ ਵੀ ਖਾਸ ਧੰਨਵਾਦ ਹੈ, ਜਿਹਨਾਂ ਨੇ ਇਸ ਪ੍ਰੋਜੈਕਟ ਨੂੰ ਸੰਭਵ ਬਣਾਇਆ। Arrival Advisor ਆਜ਼ਾਦ-ਸਰੋਤ ਵਾਲਾ ਪ੍ਰੋਜੈਕਟ ਹੈ। ਤੁਸੀਂ ਇਸ ਪ੍ਰੋਜੈਕਟ ਲਈ ਕਿਵੇਂ ਸਹਿਯੋਗ ਦੇ ਸਕਦੇ ਹੋ, ਇਹ ਜਾਣਨ ਲਈ {githubLink} ਅਤੇ {contactLink} ਵੇਖ ਸਕਦੇ ਹੋ।"
"lib/components/disclaimer/disclaimer_component.js:26","The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others.  Utilization of services located through the app is undertaken at the risk of the user.","ਐਪ ਢੁੱਕਵੀਆਂ ਨਵੇਂ ਆਉਣ ਵਾਲਿਆਂ ਲਈ ਸੇਵਾਵਾਂ ਬਾਰੇ ਜਾਣਕਾਰੀ ਦਿੰਦੀ ਹੈ ਅਤੇ ਆਮ ਸੇਧ ਦੇਣ ਤੇ ਹਵਾਲੇ ਲਈ ਹੀ ਹੈ। ਜਦੋਂ ਕਿ ਸਾਡਾ ਮਕਸਦ ਦਰੁਸਤ ਅਤੇ ਸਮੇਂ ਸਿਰ ਜਾਣਕਾਰੀ ਦੇਣਾ ਹੈ, ਪਰ ਸਾਡਾ ਜਾਣਕਾਰੀ ਦੀ ਮੌਜੂਦਾ ਦਰੁਸਤਾ ਜਾਂ ਦਿੱਤੀਆਂ ਜਾਂਦੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਕੁਆਲਟੀ ਉੱਤੇ ਕੰਟਰੋਲ ਨਹੀਂ ਹੈ। ਜੇ ਤੁਸੀਂ ਜਾਣਕਾਰੀ ਦੇ ਹਿੱਸੇ ਦੇ ਪੁਰਾਣਾ ਹੋਣ ਜਾਂ ਫਾਇਦੇਮੰਦ ਨਾ ਹੋਣ ਦਾ ਪਤਾ ਲਗਾਉਂਦੇ ਹੋ ਤਾਂ ਐਪ ਦੇ ਸੁਝਾਅ ਖੇਤਰ ਵਿੱਚ ਸਾਨੂੰ ਦੱਸੋ। ਇਸ ਐਪ ਵਿੱਚ ਸੇਵਾਵਾਂ ਤੇ ਸਰੋਤਾਂ ਦੇ ਸ਼ਾਮਲ ਹੋਣ ਦਾ ਅਰਥ ਉਹਨਾਂ ਦੀ ਹੋਰਨਾਂ ਦੀ ਬਜਾਏ ਤਸਦੀਕ ਜਾਂ ਸਿਫਾਰਸ਼ ਕਰਨਾ ਨਹੀਂ ਹੈ। ਐਪ ਰਾਹੀਂ ਲੱਭੀਆਂ ਗਈਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਵਰਤੋਂਕਾਰ ਦੇ ਖ਼ਤਰੇ ਦੇ ਅਧੀਨ ਹੈ।"
"lib/components/about/about_component.js:59","This is Arrival Advisor version:","ਇਹ Arrival Advisor ਦਾ ਵਰਜ਼ਨ: "
"lib/components/recommended_topics/call_to_action.js:70","UPDATE MY RECOMMENDATIONS","ਮੇਰੀਆਂ ਸਿਫਾਰਸ਼ਾਂ ਨੂੰ ਅੱਪਡੇਟ ਕਰੋ"
"lib/components/services/service_list_item_component.js:46","Web:","ਵੈੱਬ:"
"lib/components/about/about_component.js:49","and","and"
"lib/components/disclaimer/disclaimer_component.js:22","and the BC211 database of service providers, available at:","TODO 1"
"lib/components/about/about_component.js:51","to learn how you can support this project.","to learn how you can support this project."
